agency,amount,state,origin,house_requestor,house_requestor2,house_requestor3,senate_requestor,senate_requestor2,senate_requestor2,senate_requestor4
Department of Education,300000,,S,,,,Heinrich, Luján,,
Department of Education,4100000,,S,,,,Heinrich, Luján,,
Department of Education,2000000,,S,,,,Heinrich, Luján,,
Department of Education,343000,,S,,,,Heinrich, Luján,,
Department of Housing and Urban Development,2000000,,H,DeGette,,,Hickenlooper,,,
Department of Housing and Urban Development,3000000,,H,DeGette,,,Hickenlooper,,,
Department of Housing and Urban Development,1700000,,H,Crow,,,Hickenlooper,,,
Department of Health & Human Services,2000000,,H,DeGette,,,Hickenlooper,,,
Department of Health & Human Services,1000000,,H,Neguse,,,Hickenlooper,,,
Department of Health & Human Services,800000,,H,Perlmutter,,,Hickenlooper,,,
Department of Health & Human Services,100000,,H,DeGette,,,Hickenlooper,,,
Department of Education,1000000,,H,Neguse,,,Hickenlooper,,,
DOJ,125000,,S,,,,Hickenlooper,,,
Department of Housing and Urban Development,525000,,S,,,,Hickenlooper,,,
Department of Housing and Urban Development,1000000,,S,,,,Hickenlooper,,,
Department of Housing and Urban Development,1400000,,S,,,,Hickenlooper,,,
Department of Housing and Urban Development,1455000,,S,,,,Hickenlooper,,,
Rural Development,7725000,,S,,,,Hickenlooper,,,
Rural Development,159999,,S,,,,Hickenlooper,,,
DOJ,987000,,S,,,,Hickenlooper,,,
DOJ,244000,,S,,,,Hickenlooper,,,
DOJ,784000,,S,,,,Hickenlooper,,,
Environmental Protection Agency,91000,,S,,,,Hickenlooper,,,
Department of Transportation,450000,,S,,,,Hickenlooper,,,
Environmental Protection Agency,600000,,S,,,,Hickenlooper,,,
Air Force,24726000,,S,,,,Hickenlooper,,,
Department of Health & Human Services,1500000,,S,,,,Hickenlooper,,,
Department of Health & Human Services,18000,,S,,,,Hickenlooper,,,
Department of Health & Human Services,321000,,S,,,,Hickenlooper,,,
Department of Education,285000,,S,,,,Hickenlooper,,,
Army Corps of Engineers (Civil),800000,,H/S,Case,,,Hirono, Schatz,,
Rural Development,896000,,H/S,Kahele,,,Hirono, Schatz,,
NASA,1000000,,S,,,,Hirono, Schatz,,
Animal and Plant Health Inspection Service,600000,,S,,,,Hirono, Schatz,,
NASA,80000,,S,,,,Hirono, Schatz,,
DOJ,340000,,H/S,Kahele,,,Hirono,,,
Department of Health & Human Services,100000,,H/S,Kahele,,,Hirono, Schatz,,
DOC,286000,,S,,,,Hirono,,,
Department of Housing and Urban Development,1000000,,S,,,,Hirono, Schatz,,
Department of Housing and Urban Development,8495000,,S,,,,Hirono, Schatz,,
Department of Housing and Urban Development,10000000,,S,,,,Hirono, Schatz,,
DOJ,1500000,,S,,,,Hirono,,,
DOC,190000,,S,,,,Hirono,,,
Department of Energy,1000000,,S,,,,Hirono,,,
National Park Service,500000,,S,,,,Hirono, Schatz,,
Fish and Wildlife Service,634000,,S,,,,Hirono, Schatz,,
Department of Transportation,905000,,S,,,,Hirono, Schatz,,
Fish and Wildlife Service,924000,,S,,,,Hirono, Schatz,,
Navy,6220000,,S,,,,Hirono,,,
Air Force,8800000,,S,,,,Hirono, Schatz,,
Defense-Wide,19000000,,S,,,,Hirono, Schatz,,
Army,55500000,,S,,,,Hirono, Schatz,,
Navy,64500000,,S,,,,Hirono, Schatz,,
Department of Labor,1000000,,S,,,,Hirono,,,
Department of Education,800000,,S,,,,Hirono,,,
Department of Education,500000,,S,,,,Hirono,,,
Department of Education,500000,,S,,,,Hirono,,,
Department of Education,500000,,S,,,,Hirono,,,
Department of Education,98000,,S,,,,Hirono,,,
Department of Education,1000000,,S,,,,Hirono,,,
Department of Health & Human Services,560000,,S,,,,Hirono, Schatz,,
Department of Health & Human Services,250000,,S,,,,Hirono, Schatz,,
Department of Education,400000,,S,,,,Hirono, Schatz,,
Department of Education,1147000,,S,,,,Hirono, Schatz,,
DOC,5000000,,S,,,,Hyde-Smith, Wicker,,
DOC,2000000,,S,,,,Hyde-Smith, Wicker,,
Army Corps of Engineers (Civil),7000000,,S,,,,Hyde-Smith, Wicker,,
Small Business Administration,743000,MS,H/S,Kelly ,,,Hyde-Smith,Wicker,,
Department of Transportation,250000,,H/S,Palazzo,,,Hyde-Smith, Wicker,,
Environmental Protection Agency,2000000,,H/S,Palazzo,,,Hyde-Smith,,,
Army NG,15500000,,H/S,Palazzo,,,Hyde-Smith, Wicker,,
Department of Health & Human Services,5400000,,H/S,Palazzo,,,Hyde-Smith,,,
Department of Health & Human Services,315000,,H/S,Guest,,,Hyde-Smith, Wicker,,
Department of Housing and Urban Development,815000,,S,,,,Hyde-Smith,,,
Department of Housing and Urban Development,1000000,,S,,,,Hyde-Smith,,,
DOJ,600000,,S,,,,Hyde-Smith,,,
DOJ,470000,,S,,,,Hyde-Smith,,,
DOC,4000000,,S,,,,Hyde-Smith,,,
Army Corps of Engineers (Civil),2500000,,S,,,,Hyde-Smith,,,
Army Corps of Engineers (Civil),12900000,,S,,,,Hyde-Smith,,,
Small Business Administration,650000,,S,,,,Hyde-Smith,,,
Forest Service,1000000,,S,,,,Hyde-Smith,,,
Forest Service,1000000,,S,,,,Hyde-Smith,,,
Department of Transportation,1000000,,S,,,,Hyde-Smith,,,
Small Business Administration,1500000,,S,,,,Hyde-Smith,,,
Small Business Administration,2000000,,S,,,,Hyde-Smith,,,
Department of Transportation,2400000,,S,,,,Hyde-Smith,,,
Department of Transportation,2500000,,S,,,,Hyde-Smith,,,
Department of Transportation,3897000,,S,,,,Hyde-Smith,,,
Environmental Protection Agency,4000000,,S,,,,Hyde-Smith, Wicker,,
Department of Transportation,4000000,,S,,,,Hyde-Smith, Wicker,,
Department of Transportation,4500000,,S,,,,Hyde-Smith,,,
Department of Transportation,5000000,,S,,,,Hyde-Smith,,,
Defense-Wide,11155000,,S,,,,Hyde-Smith, Wicker,,
National Archives and Records Administration,20000000,,S,,,,Hyde-Smith,,,
Defense-Wide,34500000,,S,,,,Hyde-Smith, Wicker,,
Department of Labor,1000000,,S,,,,Hyde-Smith,,,
Department of Labor,1000000,,S,,,,Hyde-Smith,,,
Department of Health & Human Services,2761000,,S,,,,Hyde-Smith,,,
Department of Health & Human Services,4238000,,S,,,,Hyde-Smith,,,
Department of Health & Human Services,75000,,S,,,,Hyde-Smith,,,
Department of Health & Human Services,46000,,S,,,,Hyde-Smith,,,
Department of Health & Human Services,3598000,,S,,,,Hyde-Smith,,,
Department of Health & Human Services,731000,,S,,,,Hyde-Smith,,,
Department of Health & Human Services,800000,,S,,,,Hyde-Smith,,,
Department of Health & Human Services,2340000,,S,,,,Hyde-Smith,,,
Department of Health & Human Services,5700000,,S,,,,Hyde-Smith,,,
Department of Health & Human Services,7900000,,S,,,,Hyde-Smith,,,
Department of Health & Human Services,6000000,,S,,,,Hyde-Smith,,,
Department of Health & Human Services,1620000,,S,,,,Hyde-Smith,,,
Department of Health & Human Services,647000,,S,,,,Hyde-Smith,,,
Department of Education,354000,,S,,,,Hyde-Smith,,,
Department of Education,1000000,,S,,,,Hyde-Smith,,,
Department of Education,2000000,,S,,,,Hyde-Smith,,,
Department of Education,150000,,S,,,,Hyde-Smith,,,
Department of Education,1448000,,S,,,,Hyde-Smith,,,
Department of Health & Human Services,3400000,,S,,,,Hyde-Smith, Wicker,,
Department of Health & Human Services,1300000,,S,,,,Hyde-Smith, Wicker,,
Department of Housing and Urban Development,1000000,,H,Cole,,,Inhofe,,,
Department of Health & Human Services,1910000,,H/S,"Cole, Bice",,,Inhofe,,,
Department of Education,850000,,H/S,Cole,,,Inhofe,,,
DOJ,4000000,,S,,,,Inhofe,,,
Animal and Plant Health Inspection Service,594000,,S,,,,Inhofe,,,
Environmental Protection Agency,300000,,S,,,,Inhofe,,,
Environmental Protection Agency,1000000,,S,,,,Inhofe,,,
Environmental Protection Agency,2000000,,S,,,,Inhofe,,,
Department of Transportation,3125000,,S,,,,Inhofe,,,
Department of Transportation,3125000,,S,,,,Inhofe,,,
Department of Transportation,3125000,,S,,,,Inhofe,,,
Department of Transportation,3125000,,S,,,,Inhofe,,,
Department of Transportation,3125000,,S,,,,Inhofe,,,
Department of Transportation,3125000,,S,,,,Inhofe,,,
Department of Transportation,3125000,,S,,,,Inhofe,,,
Department of Transportation,3125000,,S,,,,Inhofe,,,
Department of Transportation,3125000,,S,,,,Inhofe,,,
Department of Transportation,3125000,,S,,,,Inhofe,,,
Department of Transportation,3125000,,S,,,,Inhofe,,,
Department of Transportation,3125000,,S,,,,Inhofe,,,
Environmental Protection Agency,5000000,,S,,,,Inhofe,,,
Environmental Protection Agency,5000000,,S,,,,Inhofe,,,
Environmental Protection Agency,5000000,,S,,,,Inhofe,,,
Environmental Protection Agency,5000000,,S,,,,Inhofe,,,
Environmental Protection Agency,5000000,,S,,,,Inhofe,,,
Environmental Protection Agency,5000000,,S,,,,Inhofe,,,
Environmental Protection Agency,5000000,,S,,,,Inhofe,,,
Department of Transportation,5000000,,S,,,,Inhofe,,,
Department of Transportation,10000000,,S,,,,Inhofe,,,
Department of Health & Human Services,1000000,,S,,,,Inhofe,,,
Department of Health & Human Services,1000000,,S,,,,Inhofe,,,
Department of Health & Human Services,720000,,S,,,,Inhofe,,,
Department of Health & Human Services,866000,,S,,,,Inhofe,,,
DOJ,996000,,H,McEachin,,,Kaine, Warner,,
DOJ,199000,,S,,,,Kaine, Warner,,
DOJ,3588000,,S,,,,Kaine, Warner,,
DOC,300000,,S,,,,Kaine, Warner,,
DOJ,447000,,S,,,,Kaine, Warner,,
DOJ,488000,,S,,,,Kaine, Warner,,
Army Corps of Engineers (Civil),580000,,S,,,,Kaine, Warner,,
Department of Health & Human Services,1800000,VA,H,Scott ,,,Kaine,Warner,,
Department of Housing and Urban Development,2900000,VA,H/S,Scott ,,,Kaine,Warner,,
DOJ,3492000,VA,H,Scott ,,,Kaine,,,
Department of Housing and Urban Development,1030000,,H,Wexton,,,Kaine,,,
Department of Transportation,1000000,,H,McEachin,,,Kaine, Warner,,
Department of Transportation,1995000,,H,Griffith,,,Kaine, Warner,,
Department of Transportation,2500000,,H,Luria,,,Kaine, Warner,,
Department of Labor,400000,,H,Connolly,,,Kaine,,,
Department of Health & Human Services,2000000,,H,Connolly,,,Kaine, Warner,,
Department of Health & Human Services,1000000,,H,Spanberger,,,Kaine, Warner,,
Department of Education,400000,,H,McEachin,,,Kaine, Warner,,
Department of Housing and Urban Development,1000000,,H/S,Spanberger,,,Kaine, Warner,,
Environmental Protection Agency,422000,,H/S,Luria,,,Kaine, Warner,,
DOJ,1483000,,S,,,,Kaine,,,
DOJ,742000,,S,,,,Kaine,,,
Department of Housing and Urban Development,500000,,S,,,,Kaine, Warner,,
Department of Housing and Urban Development,1015000,,S,,,,Kaine,,,
Department of Housing and Urban Development,1700000,,S,,,,Kaine, Warner,,
Rural Development,50000,,S,,,,Kaine,,,
National Park Service,500000,,S,,,,Kaine, Warner,,
Small Business Administration,800000,,S,,,,Kaine, Warner,,
Department of Transportation,1000000,,S,,,,Kaine, Warner,,
Department of Transportation,1500000,,S,,,,Kaine,,,
Department of Transportation,2000000,,S,,,,Kaine, Warner,,
Environmental Protection Agency,2300000,,S,,,,Kaine, Warner,,
Environmental Protection Agency,2500000,,S,,,,Kaine, Warner,,
Environmental Protection Agency,3600000,,S,,,,Kaine, Warner,,
Department of Transportation,3969000,,S,,,,Kaine, Warner,,
Department of Transportation,5000000,,S,,,,Kaine, Warner,,
Department of Transportation,6000000,,S,,,,Kaine,,,
Department of Education,620000,,S,,,,Kaine,,,
Department of Labor,850000,,S,,,,Kaine, Warner,,
Department of Health & Human Services,2500000,,S,,,,Kaine, Warner,,
Department of Health & Human Services,1000000,,S,,,,Kaine, Warner,,
Department of Education,5100000,,S,,,,Kaine, Warner,,
Army Corps of Engineers (Civil),100000,,H/S,O'Halleran,,,Kelly, Sinema,,
Army Corps of Engineers (Civil),100000,,H/S,Kirkpatrick,,,Kelly, Sinema,,
Army Corps of Engineers (Civil),500000,,H/S,O'Halleran,,,Kelly, Sinema,,
Rural Development,2000000,,H/S,O'Halleran,,,Kelly, Sinema,,
DOJ,1778000,,S,,,,Kelly, Sinema,,
DOJ,715000,,S,,,,Kelly, Sinema,,
DOJ,246000,,S,,,,Kelly, Sinema,,
DOJ,140000,,S,,,,Kelly, Sinema,,
Army Corps of Engineers (Civil),100000,,S,,,,Kelly, Sinema,,
Department of Housing and Urban Development,1000000,,H,Gallego,,,Kelly,,,
FEMA,187500,,H/S,O'Halleran,,,Kelly, Sinema,,
Department of Housing and Urban Development,300000,,H/S,Stanton,,,Kelly, Sinema,,
Department of Housing and Urban Development,750000,,H/S,Grijalva,,,Kelly, Sinema,,
Department of Housing and Urban Development,840000,,H/S,Gallego,,,Kelly, Sinema,,
Department of Housing and Urban Development,800000,,H/S,Kirkpatrick,,,Kelly, Sinema,,
Department of Health & Human Services,628000,,H/S,Kirkpatrick,,,Kelly,,,
Department of Health & Human Services,900000,,H/S,Grijalva,,,Kelly, Sinema,,
Department of Education,1000000,,H/S,"Grijalva, Kirkpatrick",,,Kelly, Sinema,,
FEMA,900000,,S,,,,Kelly, Sinema,,
Department of Transportation,2590000,,S,,,,Kelly,,,
Department of Transportation,1057000,,S,,,,Kelly,,,
Department of Housing and Urban Development,1000000,,S,,,,Kelly,,,
Department of Housing and Urban Development,1000000,,S,,,,Kelly,,,
Department of Transportation,293000,,S,,,,Kelly,,,
Forest Service,472000,,S,,,,Kelly, Sinema,,
General Services Administration,500000,,S,,,,Kelly, Sinema,,
Department of Transportation,500000,,S,,,,Kelly,,,
Forest Service,609000,,S,,,,Kelly, Sinema,,
Environmental Protection Agency,1000000,,S,,,,Kelly, Sinema,,
Department of Transportation,1200000,,S,,,,Kelly,,,
Environmental Protection Agency,2000000,,S,,,,Kelly,,,
Environmental Protection Agency,2000000,,S,,,,Kelly, Sinema,,
Forest Service,3500000,,S,,,,Kelly, Sinema,,
Navy,29300000,,S,,,,Kelly, Sinema,,
Department of Health & Human Services,700000,,S,,,,Kelly,,,
Department of Health & Human Services,5000000,,S,,,,Kelly,,,
Department of Health & Human Services,6000000,,S,,,,Kelly,,,
Department of Health & Human Services,105000,,S,,,,Kelly, Sinema,,
Department of Health & Human Services,116000,,S,,,,Kelly, Sinema,,
Department of Health & Human Services,8000000,,S,,,,Kelly, Sinema,,
Department of Health & Human Services,160000,,S,,,,Kelly, Sinema,,
Department of Education,1519000,,S,,,,Kelly, Sinema,,
DOC,990000,,H,Pingree,,,King,,,
Department of Housing and Urban Development,325000,,H/S,Pingree,,,King,,,
Rural Development,450000,,H/S,Pingree,,,King,,,
Environmental Protection Agency,1410000,,H/S,Pingree,,,King,,,
Department of Health & Human Services,300000,,H/S,Golden,,,King,,,
DOC,1000000,,S,,,,King,,,
DOC,650000,,S,,,,King,,,
FEMA,883000,,S,,,,King,,,
Department of Housing and Urban Development,514000,,S,,,,King,,,
Department of Housing and Urban Development,1000000,,S,,,,King,,,
Department of Housing and Urban Development,1000000,,S,,,,King,,,
Department of Housing and Urban Development,1456000,,S,,,,King,,,
Rural Development,56000,,S,,,,King,,,
Rural Development,23000,,S,,,,King,,,
DOC,89000,,S,,,,King,,,
DOJ,658000,,S,,,,King,,,
Environmental Protection Agency,120000,,S,,,,King,,,
Environmental Protection Agency,550000,,S,,,,King,,,
Small Business Administration,632000,,S,,,,King,,,
Department of Labor,750000,,S,,,,King,,,
Department of Labor,567000,,S,,,,King,,,
Department of Health & Human Services,1000000,,S,,,,King,,,
Department of Health & Human Services,2000000,,S,,,,King,,,
Department of the Interior,12694000,,S,,,,Klobuchar, Rounds, Smith, Thune
Rural Development,3210000,,H,Craig,,,Klobuchar, Smith,,
Rural Development,5576250,,H,Stauber,,,Klobuchar, Smith,,
DOJ,2000000,,H,McCollum,,,Klobuchar, Smith,,
Army Corps of Engineers (Civil),500000,,H/S,McCollum,,,Klobuchar, Smith,,
DOJ,500000,,H/S,Phillips,,,Klobuchar, Smith,,
DOJ,1500000,,S,,,,Klobuchar, Smith,,
DOJ,750000,,S,,,,Klobuchar, Smith,,
DOJ,300000,,S,,,,Klobuchar, Smith,,
Rural Development,418000,,S,,,,Klobuchar, Smith,,
Rural Development,157000,,S,,,,Klobuchar, Smith,,
Rural Development,975000,,S,,,,Klobuchar, Smith,,
Rural Development,3500000,,S,,,,Klobuchar, Smith,,
DOJ,500000,,S,,,,Klobuchar, Smith,,
Department of Energy,4330000,,S,,,,Klobuchar, Smith,,
Department of Housing and Urban Development,1800000,,H,Omar,,,Klobuchar, Smith,,
Department of Housing and Urban Development,2000000,,H,Phillips,,,Klobuchar, Smith,,
Department of Housing and Urban Development,3000000,,H,Craig,,,Klobuchar, Smith,,
Department of Housing and Urban Development,1250000,,H,Phillips,,,Klobuchar, Smith,,
Department of Housing and Urban Development,138434,,H,Craig,,,Klobuchar, Smith,,
DOJ,900000,,H,McCollum,,,Klobuchar,,,
Small Business Administration,1000000,,H,McCollum,,,Klobuchar,,,
Department of Transportation,1000000,,H,McCollum,,,Klobuchar, Smith,,
Department of Transportation,1124000,,H,Craig,,,Klobuchar, Smith,,
Department of Transportation,1300000,,H,McCollum,,,Klobuchar, Smith,,
Department of Transportation,2000000,,H,Phillips,,,Klobuchar, Smith,,
Department of Transportation,2500000,,H,Emmer,,,Klobuchar, Smith,,
Environmental Protection Agency,3500000,,H,Craig,,,Klobuchar, Smith,,
Environmental Protection Agency,3500000,,H,Stauber,,,Klobuchar, Smith,,
Department of Transportation,3501040,,H,Phillips,,,Klobuchar, Smith,,
Department of Labor,1000000,,H,Omar,,,Klobuchar,,,
Department of Health & Human Services,500000,,H,Emmer,,,Klobuchar,,,
Department of Health & Human Services,375000,,H,Phillips,,,Klobuchar,,,
Department of Education,800000,,H,McCollum,,,Klobuchar,,,
Department of Health & Human Services,825000,,H,Craig,,,Klobuchar, Smith,,
Department of Education,2000000,,H,McCollum,,,Klobuchar, Smith,,
Department of Housing and Urban Development,2000000,,H/S,Omar,,,Klobuchar, Smith,,
Department of Housing and Urban Development,500000,,H/S,Omar,,,Klobuchar,,,
Department of Housing and Urban Development,3000000,,H/S,Craig,,,Klobuchar, Smith,,
Department of Housing and Urban Development,1000000,,H/S,Phillips,,,Klobuchar,,,
Department of Housing and Urban Development,1500000,,H/S,Stauber,,,Klobuchar, Smith,,
Environmental Protection Agency,560000,,H/S,Craig,,,Klobuchar, Smith,,
Department of Health & Human Services,4600000,,H/S,Omar,,,Klobuchar, Smith,,
Department of Education,2000000,,H/S,Stauber,,,Klobuchar, Smith,,
DOJ,475000,,S,,,,Klobuchar,,,
FEMA,1500000,,S,,,,Klobuchar, Smith,,
Department of Transportation,500000,,S,,,,Klobuchar, Smith,,
Department of Housing and Urban Development,500000,,S,,,,Klobuchar, Smith,,
Department of Housing and Urban Development,1300000,,S,,,,Klobuchar, Smith,,
Rural Development,665000,,S,,,,Klobuchar,,,
