,position,total
2834,PARAMEDIC/FIREFIGHTER 5%,1
2835,PARAMEDIC/FIREFIGHTER/ADMIN,2
2836,PART TIME (FIRE RESERVE),31
2837,PART TIME - FIRE INSPECTOR,2
2838,PART TIME ASSISTANT FIRE CHIEF,1
2839,PART TIME FIRE,5
2840,PART TIME FIRE BATTALION CHIEF,1
2841,PART TIME FIRE CAPTAIN,2
2842,PART TIME FIRE CHIEF,4
2843,PART TIME FIRE CLERK,12
2844,PART TIME FIRE COMMUNITY RISK REDUCTION OFFICER I,4
2845,PART TIME FIRE FIGHTER,65
2846,PART TIME FIRE INSPECTOR,3
2847,PART TIME FIRE MARSHALL,1
2848,PART TIME FIRE PREVENTION ASSISTANT,8
2849,PART TIME FIRE PREVENTION OFFICER,3
2850,PART TIME FIRE PREVENTION SPECIALIST I,1
2851,PART TIME FIRE PREVENTION TECH,1
2852,PART TIME FIRE PREVENTION TECHNICIAN,1
2853,PART TIME FIREFIGHTER,71
2854,PART TIME FIREFIGHTER/ENGINEER,14
2855,PART TIME PT FIRE PREVENTION SPECIALIST I,1
2856,PART TIME VOLUNTEER FIREFIGHTER,31
2857,PART TIME-ADMINISTRATIVE FIRE CAPTAIN,4
2858,PART TIME-APPRENTICE FIREFIGHTER,52
2859,PART TIME-FIRE CHIEF,1
2860,PART-TIME ADMINISTRATIVE FIRE CAPTAIN,1
2861,PART-TIME APPRENTICE FIREFIGHTER,63
2862,PART-TIME DEPUTY FIRE CHIEF,1
2863,"PART-TIME EMPLOYEE, FIRE CHIEF",3
2864,PART-TIME FIRE,1
2865,PART-TIME FIRE CAPTAIN,1
2866,PART-TIME FIRE CHIEF,5
2867,PART-TIME FIRE FIGHTER,89
2868,PART-TIME FIRE INSPECTOR,2
2869,PART-TIME FIRE PREVENTION OFFICER,10
2870,PART-TIME FIREFIGHTER,188
2871,PART-TIME FIREFIGHTER EMT,33
2872,PART-TIME FIREFIGHTER MEDIC,7
2873,PART-TIME FIREFIGHTER/ PARAMEDIC,2
2874,PART-TIME FIREFIGHTER/ENGINEER,97
2875,PART-TIME FIREHOUSE MAINTENANCE WORKER,1
2876,PART-TIME HOURLY -  FIRE INSPECTOR,1
2877,PART-TIME HOURLY - FIRE PREVENTION SOFTWARE COORDINATOR,2
2878,PART-TIME HOURLY - FIREFIGHTER/PARAMEDIC,3
2879,PART-TIME STUDENT FIRE INTERN,2
2880,PART-TIME/EMT/FIREFIGHTER,18
2881,PART-TIME/MECHANIC/FIREFIGHTER,2
2882,PART-TIME/PARAMEDIC/FIREFIGHTER,14
2883,PART-TIME/VOLUNTEER FIREFIGHTER,1
2884,PARTTIME FIREFIGHTER,44
2885,PATROL FIRE FIGHTER NC,102
2886,"PATROL FIRE FIGHTER,NC",12
2887,PCF-ON CALL FIREFIGHTER,255
2888,PER DIEM FIREFIGHTER,16
2889,PERMIT TECH/FIRE FIGHTER,1
2890,PERSONAL ASSISTANT - FIRE,1
2891,"PHOTOGRAPHER, FORESTER AND FIRE WARDEN",10
2892,"PHOTOGRAPHER,FORESTER & FIRE WARDEN",1
2893,PILOT OF FIRE BOATS,50
2894,"PILOT, FIRE SERVICES",92
2895,"PILOT,FIRE SERVICES",12
2896,PLAN CHECK SPEC - FIRE,1
2897,PLAN CHECK SPEC-FIRE,1
2898,PLAN CHECK SPECIALIST - FIRE,10
2899,PLAN CHECKER - FIRE PREVENTION,2
2900,PLAN CHECKER - FIRE PREVENTION I,2
2901,PLAN CHECKER - FIRE PREVENTION II,10
2902,PLAN CHECKER - FIRE PREVNTN II,4
2903,PLAN CHECKER-FIRE PREVENTION,25
2904,PLAN CHECKER-FIRE PREVENTION  II,1
2905,PLAN CHECKER-FIRE PREVENTION II,1
2906,PLAN CHECKER-FIRE PREVNTN II,3
2907,"PLANNING ANALYST, FIRE",43
2908,"PLANNING ANALYST,FIRE",5
2909,PLEASANT VALLEY FIRE CSA4,16
2910,POC FIREFIGHTER,114
2911,POINT PAY FIRE FIGHT,4
2912,POINT PAY FIRE FIGHTER,2
2913,POINT PAY FIREFIGHTER,1
2914,PR ADMIN ANALYST-FIRE,7
2915,PRINCIPAL FIRE/ENV SAFETY SPEC,1
2916,PRINCIPAL FIRE/ENV SFTY SPEC,1
2917,PROB. FIREFIGHTER,2
2918,PROBATION FIREFIGHTER,1
2919,PROBATION FIREFIGHTER MEDIC,7
2920,PROBATIONARY FIRE FIGHTER,7
2921,PROBATIONARY FIREFIGHTER,9
2922,PROBATIONARY FIREFIGHTER/ENG,4
2923,PROBATIONARY FIREFIGHTER/PARAMEDIC,5
2924,PROFESSIONAL TEMP - FIRE INSPECTOR,6
2925,PROPATIONARY FIREFIGHTER,2
2926,PROVISIONAL FIREFIGHTER/PARAMEDIC,1
2927,PT ANIMAL CONTROL OFIREFIGHTERICER,1
2928,PT ASSISTANT FIRE CHIEF,8
2929,PT BACKFILL FIREFIGHTER,2
2930,PT BAILIFIREFIGHTER,1
2931,PT FIRE APPARATUS,1
2932,PT FIRE CHIEF,2
2933,PT FIRE COMMUNICATIONS SHIFT SUPERVISOR,4
2934,PT FIRE COMMUNICATIONS SYSTEMS ADMINISTRATOR,1
2935,PT FIRE DISPATCHER  II,70
2936,PT FIRE DISPATCHER I,2
2937,PT FIRE INSPECTOR 1,2
2938,PT FIRE INSPECTOR I,5
2939,PT FIRE INSPECTOR II,6
2940,PT FIRE NONOPERATION,1
2941,PT FIRE PLANS EXAMINER,7
2942,PT FIRE PLANS EXAMINER II,3
2943,PT FIRE PREVENTION INSPECTOR,2
2944,PT FIRE PREVENTION TECHNICIAN,2
2945,PT FIREFIGHTER/ENGINEER,27
2946,PT OFIREFIGHTERICE TECHNICIAN,1
2947,PT SHERIFIREFIGHTER DEPUTY,7
2948,PT SHERIFIREFIGHTER SERGEANT,2
2949,PT VOL FIRE MEMBERSHIP COOR,2
2950,PT VOL FIRE MEMBERSHIP COORD,8
2951,PT VOL FIRE MEMBERSHIP COORDINATOR,12
2952,PT VOLUNTEER FIRE MEMBERSHIP COORD,1
2953,PT VOLUNTEER FIREFIGHTER,35
2954,PT-ADMIN FIRE CAPTAIN,1
2955,PT-ADMIN. FIRE CAPTAIN,8
2956,PT-APPRENTICE FIREFIGH,32
2957,PT-APPRENTICE FIREFIGHTER,129
2958,PT-FIRE DEPARTMENT AIDE,1
2959,PT-FIRE PREVENTION INSPECTOR,1
2960,PT.-ADMIN. FIRE CAPTAIN,2
2961,PT.-APPRENTICE FIREFIGHTER,31
2962,PT/EMT FIREFIGHTER,18
2963,PT/FIREFIGHTER,37
2964,PTIME FIRE CLERK,5
2965,PTIME FIRE PREVENTION ASSISTANT,7
2966,PTIME FIRE PREVENTION SPECIALIST I,1
2967,PUBLIC EDUC/FIRE SAFETY SPEC,2
2968,PUBLIC EDUCATION/FIRE SAFETY SPEC,1
2969,PUBLIC INFORMATION OFFICER - FIRE,7
2970,RECRUIT FIREFIGHTER-PARAMEDIC,10
2971,REG FIRE COMM LEAD OPERATOR,3
2972,REGIONAL FIRE COMM P/T,4
2973,REGIONAL FIRE COMMUNICATION LEAD OPERATOR,1
2974,REGIONAL FIRE COMMUNICATION P/T,1
2975,REGIONAL FIRE COMMUNICATIONS,56
2976,REGIONAL FIRE COMMUNICATIONS LEAD OPERATOR,2
2977,REGIONAL FIRE COMMUNICATIONS OPER P/T,1
2978,REGIONAL FIRE COMMUNICATIONS OPERATOR,14
2979,REGIONAL FIRE COMMUNICATIONS*,2
2980,REGIONAL FIRE COMMUNITY P/T,5
2981,REGIONAL FIRE TRAINING OFF REL,21
2982,REGIONAL FIRE TRAINING OFF RELIEF,5
2983,RELIEF FIRE CHIEF,2
2984,RELIEF FIRE COMM OPER II,1
2985,RELIEF FIREFIGHTER,66
2986,RELIEF FIREFIGHTER (HRLY - U),7
2987,RELIEF FIREFIGHTER - HOURLY,13
2988,RELIEF/VOL. FIREFIGHTER,31
2989,RES. APPRENTICE FIREFIGHTER,9
2990,RESERVE - FIRE CAPTAIN,3
2991,RESERVE - FIRE ENGINEER,2
2992,RESERVE - FIREFIGHTER,18
2993,RESERVE / FIREFIGHTER,7
2994,RESERVE APPRENTICE FIREFIGHTER,4
2995,RESERVE EMT/FIREFIGHTER,1
2996,RESERVE FIRE CAPTAIN,12
2997,RESERVE FIRE ENGINEER,6
2998,RESERVE FIRE ENGINEER I,1
2999,RESERVE FIRE FIGHTER,80
3000,RESERVE FIRE FIGHTER I,87
3001,RESERVE FIRE FIGHTER II,1
3002,RESERVE FIRE I,1
3003,RESERVE FIRE INSPECTOR,2
3004,RESERVE FIRE INSPECTOR PT,2
3005,RESERVE FIRE SUPPRESSION,12
3006,RESERVE FIRE WORKER,3
3007,RESERVE FIREFIGHTER,2441
3008,RESERVE FIREFIGHTER  HOURLY,25
3009,RESERVE FIREFIGHTER  HRLY,10
3010,RESERVE FIREFIGHTER / FT FF,1
3011,RESERVE FIREFIGHTER ENGINEER,3
3012,RESERVE FIREFIGHTER I,42
3013,RESERVE FIREFIGHTER I-P/T,10
3014,RESERVE FIREFIGHTER II,3
3015,RESERVE FIREFIGHTER II-P/T,1
3016,RESERVE FIREFIGHTER LIEUTENANT,3
3017,RESERVE FIREFIGHTER-LIEUTENANT,7
3018,RESERVE FIREFIGHTER-LIEUTENANT  HOURLY,4
3019,RESERVE FIREFIGHTER/PARA,2
3020,RESERVE VOLUNTEER FIRE,4
3021,RESERVE VOLUNTEER FIREFIGHTER,16
3022,RESERVE/VOLUNTEER FIREFIGHTER,49
3023,RESERVICE FIREFIGHTER,1
3024,RESEVE FIREFIGHTER,1
3025,RESIDENT FIREFIGHTER,27
3026,RESIDENT FIREFIGHTER EMT,1
3027,RESIDENT FIREFIGHTER TRAINEE,100
3028,RESIDENT VOLUNTEER FIREFIGHTER,5
3029,RETIRED - FIRE CHIEF,1
3030,RETIRED - FIREFIGHTER,1
3031,RETIRED FIRE CHIEF,1
3032,RETIRED: FIREFIGHTER/ ENGINEER,1
3033,SAFER 16 FIREFIGHTER,8
3034,SAFER 16 FIREFIGHTER PEPRA,4
3035,SAFER FIREFIGHTER,5
3036,SAFER GRANT FIRE FIGHTERS,4
3037,SAFER GRANT FIREFIGHTER,1
3038,"SEASONAL (SNOW, TRAILS, FIRE)",21
3039,SEASONAL FIRE,47
3040,SEASONAL FIRE CAPTAIN,1
3041,SEASONAL FIRE FIGHTER,100
3042,SEASONAL FIRE PERSONNEL,20
3043,SEASONAL FIRE SUPERVISOR,177
3044,SEASONAL FIRE WORKER,4
3045,SEASONAL FIREFIGHTER,224
3046,SEASONAL FIREFIGHTER I,161
3047,SEASONAL FIREFIGHTER II,135
3048,SEASONAL FIREFIGHTER III,257
3049,SEASONAL FIREFIGHTER PT,5
3050,SEASONAL FIREFIGHTER-P/T,4
3051,SEASONAL FIREFIGHTER-PT,3
3052,SECRETARY TO THE FIRE CHIEF,8
3053,SECRETARY-SPEC FIRE DIST,1
3054,SECRETARY/FIRE,6
3055,SECRETARY/FIREFIGHTER,1
3056,"SECTION CHIEF, LIFEGUARD SERVICES, FIRE",55
3057,"SECTION CHIEF,LIFEGUARD SERVS,FIRE",6
3058,SENIOR ADMINISTRATIVE ANALYST-FIRE,1
3059,SENIOR CIVIL ENGINEER-FIRE HOURLY,2
3060,SENIOR CODE/FIRE INSPECTOR,12
3061,SENIOR DEPUTY FIRE CHIEF,2
3062,SENIOR DEPUTY FIRE MARSHAL,30
3063,SENIOR DEPUTY FIRE PROTECTION ENGINEER,1
3064,SENIOR FIRE CAPTAIN,65
3065,SENIOR FIRE CODE CMPLC OFFICER,2
3066,SENIOR FIRE CODE COMPLIANCE OFFICER,3
3067,SENIOR FIRE COMMUNICATION DISPATCHER,21
3068,SENIOR FIRE CONTROL WORKER,27
3069,SENIOR FIRE DISPATCHER,18
3070,SENIOR FIRE ENVIRONMENTAL SPECIALIST,3
3071,SENIOR FIRE EQUIP MECHANIC,1
3072,SENIOR FIRE EQUIPMENT MECHANIC,101
3073,SENIOR FIRE INSP/INVEST,3
3074,SENIOR FIRE INSPECIALISTTOR,4
3075,SENIOR FIRE INSPECTOR,96
3076,SENIOR FIRE INSPECTOR/INVESTIG,2
3077,SENIOR FIRE MECHANIC,6
3078,SENIOR FIRE PREVENTION INSP,3
3079,SENIOR FIRE PREVENTION INSPECT,5
3080,SENIOR FIRE PREVENTION INSPECTOR,3
3081,SENIOR FIRE PREVENTION OFFICER,34
3082,SENIOR FIRE PREVENTION SPECIALIST,7
3083,SENIOR FIRE PROTECTION ENGINEER,5
3084,SENIOR FIRE PROTECTION SPECIALIST,7
3085,SENIOR FIRE SAFETY INSPECTOR,1
3086,SENIOR FIRE SAFETY SPECIALIST,14
3087,SENIOR FIRE STATISTICAL ANALYST,2
3088,SENIOR FIRE SUPPRESSION AID,140
3089,SENIOR FIRE/ENVIRONMENTAL SPEC,3
3090,SENIOR FIREFIGHTER,14
3091,SENIOR FIREFIGHTER MECHANIC,1
3092,"SENIOR PILOT, FIRE SERVICES",24
3093,"SENIOR PILOT,FIRE SERVICES",2
3094,SENIOR STAFF ADMIN/FIRE CHIEF SECRETARY,3
3095,SENIOR STAFF ADMINISTRATIVE COORDINATOR / FIRE CHIEFS SECRETARY,2
3096,SENR FIRE PREVENTION INSPECTOR,1
3097,SESONAL FIRE FIGHTER,9
3098,SHERIFIREFIGHTER ADMINISTRATIVE ASSIST.,1
3099,SHERIFIREFIGHTER BAILIFIREFIGHTER,1
3100,SHERIFIREFIGHTER CAPTAIN,2
3101,SHERIFIREFIGHTER DEPUTY,27
3102,SHERIFIREFIGHTER DISPATCHER,7
3103,SHERIFIREFIGHTER EVIDENCE TECHNICIAN,1
3104,SHERIFIREFIGHTER SERGEANT,6
3105,SHERIFIREFIGHTER/CORONER,1
3106,SLEEPER FIREFIGHTER,75
3107,SLEEPER/FIREFIGHTER,19
3108,SLEEPER/FIREFIGHTER PT,26
3109,SPECIAL ASSISTANT TO FIRE CHIEF,2
3110,SPECIAL ASSISTANT-FIRE INSP,1
3111,SR ADMIN ANALYST-FIRE,2
3112,SR DEPUTY FIRE MARSHALL,1
3113,SR FIRE CODE CMPLC OFCR,1
3114,SR FIRE DISPATCHER,9
3115,SR FIRE DIST DISPATCHER-56 HR,30
3116,SR FIRE EQUIP MECH,2
3117,SR FIRE FIGHTG CONSTRUCT EQUIP OPER,12
3118,SR FIRE FIGHTING CONST EQUIP OPER,3
3119,SR FIRE FIGHTING CONSTRUCT EQUIP OPERATOR,2
3120,SR FIRE INSP/INVEST,8
3121,SR FIRE INSPECTOR,30
3122,SR FIRE PREVENTION INSPEC,6
3123,SR FIRE PREVENTION INSPECTOR,12
3124,SR FIRE PREVENTION SPECIALIST,18
3125,SR FIRE PROTECTION SPEC,6
3126,SR FIRE STATISTICAL ANALYST,1
3127,SR FIRE/ENVIRONMENTAL SPEC,2
3128,SR HEAVY FIRE APPARATUS MECHANIC,1
3129,SR STAFF ADM/FIRE CHIEF SECRETARY,1
3130,SR STAFF ADM/FIRE CHIEF SECTY,1
3131,SR STAFF ADMIN./FIRE CHIEF SECRETARY,1
3132,SR. FIRE CAPTAIN,1
3133,SR. FIRE DIST DISPATCHER-56 HR,3
3134,SR. FIRE ENVIRONMENTAL SPECIALIST,9
3135,SR. FIRE ENVIRONMENTAL SPECLST,13
3136,SR. FIRE FIGHTG CONSTRUCT EQUIP OPER,4
3137,SR. FIRE INSPECTOR,4
3138,SR. FIRE PREVENTION INSPECTOR,3
3139,SR. FIRE PREVENTION OFFICER,4
3140,SR. FIRE PREVENTION SPECIALIST,20
3141,SR. FIRE PROTECTION SPEC,4
3142,SR. HEAVY FIRE APPARATUS MECHANIC,3
3143,SR. STAFF ADMIN./FIRE CHIEF SECRETARY,1
3144,STAFF FIRE CAPTAIN,2
3145,STAFF FIRE CAPTAIN          (40 HR),9
3146,STAFF FIRE CAPTAIN (40 HR),11
3147,STAFF FIRE CAPTAIN (40 HR) EMT,1
3148,STAFF FIRE CAPTAIN (40 HR.),4
3149,STAFF FIRE CAPTAIN-TEMP (40 HR.),1
3150,STRIKE TEAM FIREFIGHTER,13
3151,STRIKE TEAM/VOLUNTEER FIREFIGHTER,5
3152,STRIKETEAM/VOLUNTEER FIREFIGHTER,5
3153,STUDENT FIREFIGHTER/PARAMEDIC,9
3154,SUBJ SPEC II/DEP FIRE MARSHAL,2
3155,SUBJ SPEC II/FIRE PREVENTION,4
3156,SUPERVISING FIRE DISPATCHER,105
3157,SUPERVISING FIRE FIGHTG CONSTR EQUIP OPER,1
3158,SUPERVISING FIRE FIGHTING CONSTR EQUIP OPERATOR,1
3159,SUPERVISING FIRE HEAVY EQUIPMENT SPECIALI,3
3160,SUPERVISING FIRE HEAVY EQUIPMENT SPECIALIST,8
3161,SUPERVISING FIRE HELICOPTER PILOT-A,1
3162,SUPERVISING FIRE HELICOPTER PILOT-C,3
3163,SUPERVISING FIRE INSPECTOR,4
3164,SUPERVISING FIRE PLANS EXAMINER,10
3165,SUPERVISING FIRE PREVENTION ENGINEERING ASSISTANT,10
3166,SUPERVISING FIRE PREVENTION TECHNICIAN,12
3167,"SUPERVISING PLANNING ANALYST, FIRE",9
3168,"SUPERVISING PLANNING ANALYST,FIRE",1
3169,SUPP FIREFIGHTER EMT,5
3170,SUPPLEMENTAL FIREFIGHTER,2
3171,SUPV FIRE PREVENTION INSP,1
3172,SUPV FIRE PREVENTION INSPECTOR,9
3173,SUPVG FIRE DISPATCHER,100
3174,SUPVG FIRE FIGHTG CONSTR EQUIP OPER,8
3175,SUPVG FIRE FIGHTING CONST EQP OPER,3
3176,SUPVG FIRE PREVENTION ENGINEERING ASSISTANT,36
3177,SUPVG FIRE PREVENTION ENGRG ASST,5
3178,SV FIRE CAPTAIN 1,2
3179,SV FIRE CAPTAIN 3,3
3180,SV FIRE CAPTAIN I,2
3181,SV FIRE CHIEF,1
3182,SV FIREFIGHTER 1,5
3183,SV FIREFIGHTER 2,2
3184,SV FIREFIGHTER 3,1
3185,SV PD CALL FIREFIGHTER,9
3186,TEMP - FIRE CHIEF,1
3187,TEMP ACTING DEPUTY FIRE CHIEF,2
3188,TEMP FIRE CHIEF,1
3189,TEMP FIRE DIVISION CHIEF,3
3190,TEMP FIRE ENGINEER,3
3191,TEMP FIRE FIGHTER,1
3192,TEMP FIRE FIGHTER I,1
3193,TEMP FIRE PREVENTION TECH,7
3194,TEMP FIREFIGHTER,4
3195,TEMP WORKER - FIRE CAPTAIN - DEPUTY FIRE MARSHAL,2
3196,TEMP WORKER - FIRE CAPTAIN - DFM,1
3197,TEMP- FIRE CHIEF,1
3198,TEMP-FIRE INSPECTOR,1
3199,TEMP-FIRE PLAN CHECKER,2
3200,TEMP-FIRE PREVENTION AIDE,1
3201,TEMP. FIRE ENGINEER,4
3202,TEMP. FIRE MARSHAL,1
3203,TEMP/FIREFIGHTER I,2
3204,TEMPORARY FIRE CAPTAIN,4
3205,TEMPORARY FIRE CHIEF,1
3206,TEMPORARY FIRE DEPARTMENT ADMINISTRATIVE ASSISTANT,1
3207,TEMPORARY FIRE FIGHTER,2
3208,TEMPORARY FIRE INVESTIGATOR,1
3209,TEMPORARY FIRE MARSHALL,1
3210,TEMPORARY FIRE PREVENTION TECHNICIAN,5
3211,TEMPORARY FIRE SECRETARY,2
3212,TEMPORARY FIREFIGHTER,39
3213,TEMPORARY FIREFIGHTER - PT,4
3214,TEMPORARY FIREFIGHTER EMERGENCY MEDICAL TECHNICIAN,6
3215,TEMPORARY FIREFIGHTER PARAMEDIC,8
3216,TEMPORARY FIREFIGHTER-PT,4
3217,TEMPORARY HOLDING (FIRE),2
3218,TEMPORARY INTERIM FIRE CHIEF,1
3219,TEMPORARY ON CALL FIREFIGHTER,3
3220,TEMPORARY PT FIREFIGHTER,7
3221,TEMPORARY WORKER - FIRE CAPTAIN - DEPUTY FIRE MARSHAL,1
3222,TEMPORARY WORKER - FIRE CHIEF,1
3223,"TRAINING & COMMUNICATION SPEC, FIRE",21
3224,"TRAINING & COMMUNICATIONS SPEC,FIRE",3
3225,UNDERSHERIFIREFIGHTER,1
3226,UVFD TEMPORARY FIRE STAFF,5
3227,VOL  FIREFIGHTER I W/EMT,2
3228,VOL - RSV FIREFIGHTER,44
3229,VOL ASST FIRE CHIEF,1
3230,VOL DEPUTY FIRE CHIEF,1
3231,VOL FIRE CAPTAIN,7
3232,VOL FIRE FIGHTER,22
3233,VOL FIREFIGHTER,61
3234,VOL FIREFIGHTER I,1
3235,VOL FIREFIGHTER I W/EMT,2
3236,VOL FIREFIGHTER/RES OFFICER,3
3237,VOL. FIREFIGHTER,20
3238,VOL. FIREFIGHTER FEMA REIMBURSEMENT,16
3239,VOL. FIREFIGHTER-FEMA REIM,17
3240,VOLUNTEER  FIREFIGHTER,21
3241,VOLUNTEER - ASST FIRE CHIEF,1
3242,VOLUNTEER - FIRE CAPTAIN,5
3243,VOLUNTEER - FIRE ENGINEER,3
3244,VOLUNTEER - FIREFIGHTER,37
3245,VOLUNTEER ASSISTANT FIRE CHIEF,2
3246,VOLUNTEER ASST. FIRE CHIEF,1
3247,VOLUNTEER CAPT FIREFIGHTER,1
3248,VOLUNTEER CAPT. FIREFIGHTER,1
3249,VOLUNTEER FIRE,46
3250,VOLUNTEER FIRE CAPTAIN,26
3251,VOLUNTEER FIRE CHIEF,13
3252,VOLUNTEER FIRE CHIEF 1,1
3253,VOLUNTEER FIRE DEPUTY,1
3254,VOLUNTEER FIRE ENGINEER,6
3255,VOLUNTEER FIRE FIGHTER,480
3256,VOLUNTEER FIRE FIGHTER I,3
3257,VOLUNTEER FIRE FIGHTER-I,4
3258,VOLUNTEER FIRE OFFICER,8
3259,VOLUNTEER FIRE SUPPRESS-12,1
3260,VOLUNTEER FIRE SUPPRESS-67,67
3261,VOLUNTEER FIRE SUPPRESS-68,11
3262,VOLUNTEER FIRE SUPPRESS-69,9
3263,VOLUNTEER FIRE SUPPRESS-70,5
3264,VOLUNTEER FIRE SUPPRESS-72,1
3265,VOLUNTEER FIRE SUPPRESSION,50
3266,VOLUNTEER FIRE/AMBULANCE,12
3267,VOLUNTEER FIREFIGHTER,3648
3268,VOLUNTEER FIREFIGHTER & EXTRA HIRE,9
3269,VOLUNTEER FIREFIGHTER & RELIEF,1
3270,VOLUNTEER FIREFIGHTER - CAPTAIN,3
3271,VOLUNTEER FIREFIGHTER - EMERGENCY MEDICAL TECHNICIAN WITH CERTIFICATION,10
3272,VOLUNTEER FIREFIGHTER - EMERGENCY MEDICAL TECHNICIAN WITH MOBILE INTENSIVE CARE UNIT CERTIFICATION,4
3273,VOLUNTEER FIREFIGHTER - ENGINEER,4
3274,VOLUNTEER FIREFIGHTER - PROBATIONARY,1
3275,VOLUNTEER FIREFIGHTER / EMT,1
3276,VOLUNTEER FIREFIGHTER COORDINATOR,9
3277,VOLUNTEER FIREFIGHTER EMERGENCY MEDICAL TECHNICIAN,7
3278,VOLUNTEER FIREFIGHTER I,57
3279,VOLUNTEER FIREFIGHTER I - CAPTAIN ASSISTANT,1
3280,VOLUNTEER FIREFIGHTER I W/EMT,1
3281,VOLUNTEER FIREFIGHTER I-  CAPTAIN,1
3282,VOLUNTEER FIREFIGHTER PARAMEDIC,3
3283,VOLUNTEER FIREFIGHTER WITH CURRENT MET,1
3284,VOLUNTEER FIREFIGHTER/EMT,37
3285,VOLUNTEER FIREFIGHTER/PARAMEDIC,195
3286,VOLUNTEER FIREFIGHTER/RES OFFICER,1
3287,VOLUNTEER FIREMAN,560
3288,VOLUNTEER FIREMEM,16
3289,VOLUNTEER FIREMEN,49
3290,VOLUNTEER FIREPERSON,51
3291,VOLUNTEER PAID-CALL FIREFIGHTER,228
3292,VOLUNTEER-FIREFIGHTER,49
3293,VOLUNTEER/ FIRE FIGHTER,35
3294,VOLUNTEER/APPRENTICE FIREFIGHTER,6
3295,VOLUNTEER/FIRE FIGHTER,51
3296,VOLUNTEER/FIREFIGHTER,28
3297,VOUNTEER FIREFIGHTER/PARAMEDIC,1
3298,WILDFIRE PROTECTION/VEGETATION MANAGEMENT BC,1
3299,WILDFIRE PROTECTION/VEGETATION MGMT BC,6
3300,WILDFIRE PROTECTION/VEGETATION MGMT. BC,1
3301,WILDLAND FIRE DEFENSE PLANNER,3
3302,WILDLAND FIRE DEFENSE PLANNER - C-A,3
3303,XH - FIRE DEPARTMENT AIDE,5
3304,XH-FIRE DEPARTMENT AIDE,4
3305,Z-TEMP/FIREFIGHTER TRAINEE,1
