agency,amount,state,origin,house_requestor,house_requestor2,house_requestor3,senate_requestor,senate_requestor2,senate_requestor2.1,senate_requestor4,party
Rural Development,3500000,,S,,,,Klobuchar,Smith,,,D
DOJ,500000,,S,,,,Klobuchar,Smith,,,D
Department of Energy,4330000,,S,,,,Klobuchar,Smith,,,D
Department of Housing and Urban Development,1800000,,H,Omar,,,Klobuchar,Smith,,,D
Department of Housing and Urban Development,2000000,,H,Phillips,,,Klobuchar,Smith,,,D
Department of Housing and Urban Development,3000000,,H,Craig,,,Klobuchar,Smith,,,D
Department of Housing and Urban Development,1250000,,H,Phillips,,,Klobuchar,Smith,,,D
Department of Housing and Urban Development,138434,,H,Craig,,,Klobuchar,Smith,,,D
DOJ,900000,,H,McCollum,,,Klobuchar,,,,D
Small Business Administration,1000000,,H,McCollum,,,Klobuchar,,,,D
Department of Transportation,1000000,,H,McCollum,,,Klobuchar,Smith,,,D
Department of Transportation,1124000,,H,Craig,,,Klobuchar,Smith,,,D
Department of Transportation,1300000,,H,McCollum,,,Klobuchar,Smith,,,D
Department of Transportation,2000000,,H,Phillips,,,Klobuchar,Smith,,,D
Department of Transportation,2500000,,H,Emmer,,,Klobuchar,Smith,,,R
Environmental Protection Agency,3500000,,H,Craig,,,Klobuchar,Smith,,,D
Environmental Protection Agency,3500000,,H,Stauber,,,Klobuchar,Smith,,,R
Department of Transportation,3501040,,H,Phillips,,,Klobuchar,Smith,,,D
Department of Labor,1000000,,H,Omar,,,Klobuchar,,,,D
Department of Health & Human Services,500000,,H,Emmer,,,Klobuchar,,,,R
Department of Health & Human Services,375000,,H,Phillips,,,Klobuchar,,,,D
Department of Education,800000,,H,McCollum,,,Klobuchar,,,,D
Department of Health & Human Services,825000,,H,Craig,,,Klobuchar,Smith,,,D
Department of Education,2000000,,H,McCollum,,,Klobuchar,Smith,,,D
Department of Housing and Urban Development,2000000,,H/S,Omar,,,Klobuchar,Smith,,,D
Department of Housing and Urban Development,500000,,H/S,Omar,,,Klobuchar,,,,D
Department of Housing and Urban Development,3000000,,H/S,Craig,,,Klobuchar,Smith,,,D
Department of Housing and Urban Development,1000000,,H/S,Phillips,,,Klobuchar,,,,D
Department of Housing and Urban Development,1500000,,H/S,Stauber,,,Klobuchar,Smith,,,R
Environmental Protection Agency,560000,,H/S,Craig,,,Klobuchar,Smith,,,D
Department of Health & Human Services,4600000,,H/S,Omar,,,Klobuchar,Smith,,,D
Department of Education,2000000,,H/S,Stauber,,,Klobuchar,Smith,,,R
DOJ,475000,,S,,,,Klobuchar,,,,D
FEMA,1500000,,S,,,,Klobuchar,Smith,,,D
Department of Transportation,500000,,S,,,,Klobuchar,Smith,,,D
Department of Housing and Urban Development,500000,,S,,,,Klobuchar,Smith,,,D
Department of Housing and Urban Development,1300000,,S,,,,Klobuchar,Smith,,,D
Rural Development,665000,,S,,,,Klobuchar,,,,D
Army Corps of Engineers (Civil),926000,,S,,,,Klobuchar,,,,D
Army Corps of Engineers (Civil),926000,,S,,,,Klobuchar,,,,D
FEMA,2742000,,S,,,,Klobuchar,Smith,,,D
Environmental Protection Agency,245000,,S,,,,Klobuchar,,,,D
National Park Service,500000,,S,,,,Klobuchar,,,,D
Department of Transportation,500000,,S,,,,Klobuchar,Smith,,,D
Environmental Protection Agency,935000,,S,,,,Klobuchar,Smith,,,D
Small Business Administration,1000000,,S,,,,Klobuchar,Smith,,,D
Environmental Protection Agency,2500000,,S,,,,Klobuchar,Smith,,,D
Environmental Protection Agency,4400000,,S,,,,Klobuchar,Smith,,,D
Department of Transportation,7500000,,S,,,,Klobuchar,Smith,,,D
Department of Labor,750000,,S,,,,Klobuchar,Smith,,,D
Department of Labor,500000,,S,,,,Klobuchar,Smith,,,D
Department of Labor,2000000,,S,,,,Klobuchar,Smith,,,D
Department of Health & Human Services,1000000,,S,,,,Klobuchar,Smith,,,D
Department of Education,84000,,S,,,,Klobuchar,Smith,,,D
Department of Education,19000,,S,,,,Klobuchar,Smith,,,D
Department of Education,223000,,S,,,,Klobuchar,Smith,,,D
Department of Education,1090000,,S,,,,Klobuchar,Smith,,,D
Department of Education,500000,,S,,,,Klobuchar,Smith,,,D
Department of Education,2060000,,S,,,,Klobuchar,Smith,,,D
Department of Energy,500000,,S,,,,Leahy,Sanders,,,D
Department of Energy,750000,,S,,,,Leahy,Sanders,,,D
DOC,10000000,,S,,,,Leahy,,,,D
DOJ,756000,,S,,,,Leahy,,,,D
DOC,750000,,S,,,,Leahy,,,,D
NASA,250000,,S,,,,Leahy,,,,D
DOJ,165000,,S,,,,Leahy,,,,D
DOJ,2000000,,S,,,,Leahy,,,,D
DOJ,433000,,S,,,,Leahy,,,,D
DOC,2000000,,S,,,,Leahy,,,,D
FEMA,2620000,,S,,,,Leahy,,,,D
FEMA,400000,,S,,,,Leahy,,,,D
Department of Transportation,3000000,,S,,,,Leahy,,,,D
Department of Housing and Urban Development,315000,,S,,,,Leahy,,,,D
Department of Housing and Urban Development,318000,,S,,,,Leahy,,,,D
Department of Housing and Urban Development,750000,,S,,,,Leahy,,,,D
Department of Housing and Urban Development,995000,,S,,,,Leahy,,,,D
Department of Housing and Urban Development,1000000,,S,,,,Leahy,,,,D
Department of Housing and Urban Development,3000000,,S,,,,Leahy,,,,D
Department of Housing and Urban Development,9000000,,S,,,,Leahy,,,,D
Rural Development,200000,,S,,,,Leahy,,,,D
Rural Development,750000,,S,,,,Leahy,,,,D
Rural Development,109000,,S,,,,Leahy,,,,D
Rural Development,600000,,S,,,,Leahy,,,,D
Rural Development,120000,,S,,,,Leahy,,,,D
Rural Development,543000,,S,,,,Leahy,,,,D
Natural Resources Conservation Service,5000000,,S,,,,Leahy,,,,D
Natural Resources Conservation Service,250000,,S,,,,Leahy,,,,D
Natural Resources Conservation Service,500000,,S,,,,Leahy,,,,D
General Provisions,5000000,,S,,,,Leahy,,,,D
General Provisions,10000000,,S,,,,Leahy,,,,D
Department of Energy,4000000,,S,,,,Leahy,,,,D
Department of Energy,5000000,,S,,,,Leahy,,,,D
Department of Energy,5166000,,S,,,,Leahy,,,,D
Army Corps of Engineers (Civil),5250000,,S,,,,Leahy,,,,D
Forest Service,150000,,S,,,,Leahy,,,,D
Forest Service,250000,,S,,,,Leahy,,,,D
National Park Service,250000,,S,,,,Leahy,,,,D
Small Business Administration,260000,,S,,,,Leahy,,,,D
Forest Service,286000,,S,,,,Leahy,,,,D
Small Business Administration,372000,,S,,,,Leahy,,,,D
National Park Service,500000,,S,,,,Leahy,,,,D
National Park Service,500000,,S,,,,Leahy,,,,D
National Park Service,500000,,S,,,,Leahy,,,,D
Environmental Protection Agency,560000,,S,,,,Leahy,,,,D
Small Business Administration,637000,,S,,,,Leahy,,,,D
Environmental Protection Agency,841000,,S,,,,Leahy,Sanders,,,D
Small Business Administration,925000,,S,,,,Leahy,,,,D
Small Business Administration,1000000,,S,,,,Leahy,,,,D
Department of Transportation,2000000,,S,,,,Leahy,,,,D
Department of Transportation,2000000,,S,,,,Leahy,,,,D
Forest Service,2100000,,S,,,,Leahy,,,,D
Forest Service,2500000,,S,,,,Leahy,,,,D
Small Business Administration,3000000,,S,,,,Leahy,,,,D
Environmental Protection Agency,3000000,,S,,,,Leahy,,,,D
Army NG,4665000,,S,,,,Leahy,Sanders,,,D
Department of Transportation,5000000,,S,,,,Leahy,,,,D
Fish and Wildlife Service,8500000,,S,,,,Leahy,,,,D
Army NG,16900000,,S,,,,Leahy,,,,D
Department of Labor,900000,,S,,,,Leahy,,,,D
Department of Labor,100000,,S,,,,Leahy,,,,D
Department of Labor,1200000,,S,,,,Leahy,,,,D
Department of Labor,165000,,S,,,,Leahy,,,,D
Department of Health & Human Services,1000000,,S,,,,Leahy,,,,D
Department of Health & Human Services,1170000,,S,,,,Leahy,,,,D
Department of Health & Human Services,3000000,,S,,,,Leahy,,,,D
Department of Health & Human Services,750000,,S,,,,Leahy,,,,D
Department of Health & Human Services,5750000,,S,,,,Leahy,,,,D
Department of Health & Human Services,681000,,S,,,,Leahy,,,,D
Department of Health & Human Services,160000,,S,,,,Leahy,,,,D
Department of Health & Human Services,1000000,,S,,,,Leahy,,,,D
Department of Health & Human Services,405000,,S,,,,Leahy,,,,D
Department of Health & Human Services,176000,,S,,,,Leahy,,,,D
Department of Education,365000,,S,,,,Leahy,,,,D
Department of Education,382000,,S,,,,Leahy,,,,D
Department of Education,376000,,S,,,,Leahy,,,,D
Department of Education,150000,,S,,,,Leahy,,,,D
Department of Education,4000000,,S,,,,Leahy,,,,D
Department of Education,400000,,S,,,,Leahy,,,,D
Department of Education,2600000,,S,,,,Leahy,,,,D
Department of Education,3708000,,S,,,,Leahy,,,,D
Department of Health & Human Services,614000,,S,,,,Leahy,Sanders,,,D
Department of Education,225000,,H,Leger Fernandez,,,Luján,,,,D
Rural Development,350000,,S,,,,Luján,,,,D
Rural Development,164000,,S,,,,Luján,,,,D
Natural Resources Conservation Service,82000,,S,,,,Luján,,,,D
DOJ,1000000,,S,,,,Luján,,,,D
DOJ,866000,,S,,,,Luján,,,,D
Department of Energy,200000,,S,,,,Luján,,,,D
Department of Energy,1000000,,S,,,,Luján,,,,D
Environmental Protection Agency,200000,,S,,,,Luján,,,,D
National Park Service,500000,,S,,,,Luján,,,,D
National Park Service,500000,,S,,,,Luján,,,,D
Department of Transportation,1000000,,S,,,,Luján,,,,D
Department of Transportation,2500000,,S,,,,Luján,,,,D
Department of Health & Human Services,920000,,S,,,,Luján,,,,D
Department of Health & Human Services,1500000,,S,,,,Luján,,,,D
Department of Health & Human Services,1500000,,S,,,,Luján,,,,D
Rural Development,55000,,S,,,,Manchin,Capito,,,D
Department of Housing and Urban Development,3000000,,H,McKinley,,,Manchin,,,,R
Environmental Protection Agency,600000,,H,McKinley,,,Manchin,,,,R
Department of Health & Human Services,750000,,H/S,McKinley,,,Manchin,,,,R
DOC,2000000,,S,,,,Manchin,,,,D
DOJ,58000,,S,,,,Manchin,,,,D
FEMA,2925000,,S,,,,Manchin,,,,D
Department of Transportation,4000000,,S,,,,Manchin,,,,D
Department of Housing and Urban Development,150000,,S,,,,Manchin,,,,D
Department of Housing and Urban Development,300000,,S,,,,Manchin,,,,D
Department of Housing and Urban Development,600000,,S,,,,Manchin,,,,D
Department of Housing and Urban Development,1000000,,S,,,,Manchin,,,,D
Department of Housing and Urban Development,2000000,,S,,,,Manchin,,,,D
Rural Development,875000,,S,,,,Manchin,,,,D
Army Corps of Engineers (Civil),1836000,,S,,,,Manchin,,,,D
Department of Energy,1900000,,S,,,,Manchin,,,,D
Department of Energy,4000000,,S,,,,Manchin,,,,D
Department of Transportation,339000,,S,,,,Manchin,,,,D
Department of Transportation,398000,,S,,,,Manchin,,,,D
Department of Transportation,500000,,S,,,,Manchin,,,,D
National Park Service,1500000,,S,,,,Manchin,,,,D
Department of Labor,167000,,S,,,,Manchin,,,,D
Department of Labor,6341000,,S,,,,Manchin,,,,D
Department of Health & Human Services,165000,,S,,,,Manchin,,,,D
Department of Health & Human Services,75000,,S,,,,Manchin,,,,D
Department of Health & Human Services,2790000,,S,,,,Manchin,,,,D
Department of Health & Human Services,930000,,S,,,,Manchin,,,,D
Department of Health & Human Services,2000000,,S,,,,Manchin,,,,D
Department of Health & Human Services,200000,,S,,,,Manchin,,,,D
Department of Health & Human Services,500000,,S,,,,Manchin,,,,D
Department of Education,100000,,S,,,,Manchin,,,,D
DOJ,678000,,S,,,,Markey,Warren,,,D
DOJ,250000,,S,,,,Markey,Warren,,,D
DOC,500000,,S,,,,Markey,Warren,,,D
DOC,1000000,,S,,,,Markey,Warren,,,D
DOJ,1075000,,S,,,,Markey,Warren,,,D
NASA,750000,,S,,,,Markey,Warren,,,D
DOJ,1000000,,S,,,,Markey,Warren,,,D
Army Corps of Engineers (Civil),240000,,S,,,,Markey,Warren,,,D
Department of Energy,995000,,S,,,,Markey,Warren,,,D
Department of Transportation,4000000,MA,H,Clark,,,Markey,Warren,,,D
Environmental Protection Agency,3360000,MA,H,Clark,,,Markey,Warren,,,D
Department of Education,600000,MA,H,Clark,,,Markey,Warren,,,D
Department of Housing and Urban Development,1500000,,H,Auchincloss,,,Markey,Warren,,,D
Department of Transportation,1200000,,H,Moulton,,,Markey,Warren,,,D
Environmental Protection Agency,2750000,,H,Auchincloss,,,Markey,Warren,,,D
Department of Labor,1000000,,H,Pressley,,,Markey,Warren,,,D
Department of Health & Human Services,1500000,,H,Keating,,,Markey,Warren,,,D
Department of Health & Human Services,1000000,,H,Pressley,,,Markey,Warren,,,D
Department of Health & Human Services,900000,,H,Moulton,,,Markey,Warren,,,D
Department of Health & Human Services,1000000,,H,Moulton,,,Markey,Warren,,,D
Department of Health & Human Services,975000,,H,Keating,,,Markey,Warren,,,D
Department of Health & Human Services,1350000,,H,Lynch,,,Markey,Warren,,,D
Department of Health & Human Services,1650000,,H,Trahan,,,Markey,Warren,,,D
Department of Education,1000000,,H,Lynch,,,Markey,Warren,,,D
Department of Education,1950000,,H,Keating,,,Markey,Warren,,,D
Department of Education,975000,,H,McGovern,,,Markey,Warren,,,D
Department of Education,500000,,H,Trahan,,,Markey,Warren,,,D
FEMA,1650000,,H/S,Lynch,,,Markey,Warren,,,D
Department of Housing and Urban Development,3000000,,H/S,McGovern,,,Markey,Warren,,,D
Environmental Protection Agency,1085000,,H/S,Neal,,,Markey,Warren,,,D
Department of Transportation,1200000,,H/S,Moulton,,,Markey,Warren,,,D
Environmental Protection Agency,2000000,,H/S,Lynch,,,Markey,Warren,,,D
Department of Labor,300000,,H/S,Pressley,,,Markey,Warren,,,D
FEMA,800000,,S,,,,Markey,Warren,,,D
Department of Housing and Urban Development,250000,,S,,,,Markey,Warren,,,D
Department of Housing and Urban Development,1000000,,S,,,,Markey,Warren,,,D
Department of Housing and Urban Development,1000000,,S,,,,Markey,Warren,,,D
Department of Housing and Urban Development,1800000,,S,,,,Markey,Warren,,,D
Department of Housing and Urban Development,1873000,,S,,,,Markey,Warren,,,D
Department of Housing and Urban Development,2000000,,S,,,,Markey,Warren,,,D
Department of Housing and Urban Development,3000000,,S,,,,Markey,Warren,,,D
Department of Housing and Urban Development,4000000,,S,,,,Markey,Warren,,,D
Small Business Administration,377000,,S,,,,Markey,Warren,,,D
National Park Service,500000,,S,,,,Markey,Warren,,,D
Environmental Protection Agency,800000,,S,,,,Markey,Warren,,,D
Environmental Protection Agency,869000,,S,,,,Markey,Warren,,,D
Environmental Protection Agency,3280000,,S,,,,Markey,Warren,,,D
Department of Transportation,3600000,,S,,,,Markey,Warren,,,D
Department of Labor,750000,,S,,,,Markey,Warren,,,D
Department of Health & Human Services,4627000,,S,,,,Markey,Warren,,,D
Department of Health & Human Services,670000,,S,,,,Markey,Warren,,,D
Department of Health & Human Services,4500000,,S,,,,Markey,Warren,,,D
Department of Health & Human Services,305000,,S,,,,Markey,Warren,,,D
Department of Health & Human Services,1000000,,S,,,,Markey,Warren,,,D
Department of Health & Human Services,700000,,S,,,,Markey,Warren,,,D
Department of Education,2000000,,S,,,,Markey,Warren,,,D
Department of Education,98000,,S,,,,Markey,Warren,,,D
Army Corps of Engineers (Civil),1200000,,S,,,,Menendez,Schumer,,,D
Department of Housing and Urban Development,250000,,H,Malinowski,,,Menendez,,,,D
Department of Housing and Urban Development,250000,,H,Pascrell,,,Menendez,,,,D
Department of Housing and Urban Development,5000000,,H,Sires,,,Menendez,,,,D
Environmental Protection Agency,2800000,,H,Gottheimer,,,Menendez,,,,D
Department of Education,1000000,,H,Watson Coleman,,,Menendez,,,,D
Department of Housing and Urban Development,250000,,H/S,Pascrell,,,Menendez,,,,D
Environmental Protection Agency,250000,,H/S,Gottheimer,,,Menendez,,,,D
Environmental Protection Agency,677000,,H/S,Sherrill,,,Menendez,,,,D
Department of Health & Human Services,550000,,H/S,Sires,,,Menendez,,,,D
Department of Health & Human Services,800000,,H/S,Payne,,,Menendez,,,,D
Department of Education,1100000,,H/S,Payne,,,Menendez,,,,D
DOJ,394000,,S,,,,Menendez,,,,D
Department of Transportation,1316000,,S,,,,Menendez,,,,D
Department of Housing and Urban Development,232000,,S,,,,Menendez,,,,D
Department of Housing and Urban Development,400000,,S,,,,Menendez,,,,D
Department of Housing and Urban Development,400000,,S,,,,Menendez,,,,D
Department of Housing and Urban Development,1500000,,S,,,,Menendez,,,,D
Department of Housing and Urban Development,3000000,,S,,,,Menendez,,,,D
DOJ,113000,,S,,,,Menendez,,,,D
DOC,500000,,S,,,,Menendez,,,,D
Army Corps of Engineers (Civil),1125000,,S,,,,Menendez,,,,D
Army Corps of Engineers (Civil),5000000,,S,,,,Menendez,,,,D
Army Corps of Engineers (Civil),17000000,,S,,,,Menendez,,,,D
National Park Service,250000,,S,,,,Menendez,,,,D
Environmental Protection Agency,395000,,S,,,,Menendez,,,,D
Environmental Protection Agency,398000,,S,,,,Menendez,,,,D
Small Business Administration,450000,,S,,,,Menendez,,,,D
Environmental Protection Agency,600000,,S,,,,Menendez,,,,D
Department of Health & Human Services,513000,,S,,,,Menendez,,,,D
Department of Education,250000,,S,,,,Menendez,,,,D
Department of Education,80000,,S,,,,Menendez,,,,D
Department of Education,69000,,S,,,,Menendez,,,,D
DOJ,200000,,H,Blumenauer,,,Merkley,Wyden,,,D
DOJ,231000,,H,DeFazio,,,Merkley,Wyden,,,D
DOJ,1200000,,H,Schrader,,,Merkley,Wyden,,,D
DOC,100000,,H,Schrader,,,Merkley,Wyden,,,D
Army Corps of Engineers (Civil),732000,,H/S,Blumenauer,,,Merkley,Wyden,,,D
Army Corps of Engineers (Civil),6200000,,H/S,Schrader,,,Merkley,Wyden,,,D
Army Corps of Engineers (Civil),6889000,,H/S,DeFazio,,,Merkley,Wyden,,,D
DOC,760000,,H/S,Bonamici,,,Merkley,Wyden,,,D
DOJ,500000,,S,,,,Merkley,Wyden,,,D
DOJ,132000,,S,,,,Merkley,Wyden,,,D
DOC,1699000,,S,,,,Merkley,Wyden,,,D
DOJ,606000,,S,,,,Merkley,Wyden,,,D
DOJ,1545000,,S,,,,Merkley,Wyden,,,D
DOC,585000,,S,,,,Merkley,Wyden,,,D
DOJ,648000,,S,,,,Merkley,Wyden,,,D
Rural Development,50000,,S,,,,Merkley,Wyden,,,D
Rural Development,500000,,S,,,,Merkley,Wyden,,,D
Rural Development,50000,,S,,,,Merkley,Wyden,,,D
Rural Development,100000,,S,,,,Merkley,Wyden,,,D
Rural Development,50000,,S,,,,Merkley,Wyden,,,D
Rural Development,450000,,S,,,,Merkley,Wyden,,,D
Natural Resources Conservation Service,750000,,S,,,,Merkley,Wyden,,,D
DOC,945000,,S,,,,Merkley,Wyden,,,D
DOJ,200000,,S,,,,Merkley,Wyden,,,D
DOJ,190000,,S,,,,Merkley,Wyden,,,D
DOC,2500000,,S,,,,Merkley,Wyden,,,D
Army Corps of Engineers (Civil),207000,,S,,,,Merkley,Wyden,,,D
Department of Energy,301000,,S,,,,Merkley,Wyden,,,D
Department of Energy,344000,,S,,,,Merkley,Wyden,,,D
Department of Energy,1500000,,S,,,,Merkley,Wyden,,,D
Army Corps of Engineers (Civil),1612000,,S,,,,Merkley,Wyden,,,D
Department of the Interior,5000000,,S,,,,Merkley,Wyden,,,D
Army Corps of Engineers (Civil),34800000,,S,,,,Merkley,Wyden,,,D
FEMA,3750000,,H,Blumenauer,,,Merkley,Wyden,,,D
Department of Housing and Urban Development,500000,,H,Bonamici,,,Merkley,Wyden,,,D
Department of Housing and Urban Development,1750000,,H,Bonamici,,,Merkley,Wyden,,,D
Department of Housing and Urban Development,1000000,,H,DeFazio,,,Merkley,Wyden,,,D
Forest Service,125000,,H,DeFazio,,,Merkley,Wyden,,,D
Forest Service,200000,,H,DeFazio,,,Merkley,Wyden,,,D
Environmental Protection Agency,3500000,,H,DeFazio,,,Merkley,Wyden,,,D
Department of Health & Human Services,1000000,,H,DeFazio,,,Merkley,Wyden,,,D
Department of Health & Human Services,800000,,H,Blumenauer,,,Merkley,Wyden,,,D
Department of Health & Human Services,850000,,H,Blumenauer,,,Merkley,Wyden,,,D
Department of Housing and Urban Development,2670000,,H/S,Bonamici,Blumenauer,,Merkley,Wyden,,,D
Department of Transportation,1440000,,H/S,Schrader,,,Merkley,Wyden,,,D
Department of Health & Human Services,1500000,,H/S,DeFazio,,,Merkley,Wyden,,,D
Department of Health & Human Services,2124000,,H/S,Bonamici,,,Merkley,Wyden,,,D
Department of Health & Human Services,750000,,H/S,Blumenauer,,,Merkley,Wyden,,,D
FEMA,1000000,,S,,,,Merkley,Wyden,,,D
FEMA,750000,,S,,,,Merkley,,,,D
Department of Transportation,950000,,S,,,,Merkley,Wyden,,,D
Department of Transportation,600000,,S,,,,Merkley,Wyden,,,D
Department of Transportation,6306000,,S,,,,Merkley,Wyden,,,D
Department of Housing and Urban Development,500000,,S,,,,Merkley,Wyden,,,D
Department of Housing and Urban Development,529000,,S,,,,Merkley,Wyden,,,D
Department of Housing and Urban Development,550000,,S,,,,Merkley,Wyden,,,D
Department of Housing and Urban Development,800000,,S,,,,Merkley,Wyden,,,D
Department of Housing and Urban Development,1000000,,S,,,,Merkley,Wyden,,,D
Department of Housing and Urban Development,1000000,,S,,,,Merkley,Wyden,,,D
Department of Housing and Urban Development,1000000,,S,,,,Merkley,Wyden,,,D
Department of Housing and Urban Development,1000000,,S,,,,Merkley,Wyden,,,D
Department of Housing and Urban Development,1172000,,S,,,,Merkley,Wyden,,,D
